"","TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"148","Commercial Break and Enter",2014,1,"1100 GRANT ST",NA,NA,NA,"VANCOUVER BC"
"149","Commercial Break and Enter",2014,1,"100 W HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"150","Commercial Break and Enter",2014,1,"1400 BARCLAY ST",NA,NA,NA,"VANCOUVER BC"
"151","Commercial Break and Enter",2014,1,"600 ABBOTT ST",NA,NA,NA,"VANCOUVER BC"
"152","Commercial Break and Enter",2014,1,"400 E 10TH AVE",NA,NA,NA,"VANCOUVER BC"
"153","Commercial Break and Enter",2014,1,"100 MILROSS AVE",NA,NA,NA,"VANCOUVER BC"
"154","Commercial Break and Enter",2014,1,"2600 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"155","Commercial Break and Enter",2014,1,"1100 NELSON ST",NA,NA,NA,"VANCOUVER BC"
"156","Commercial Break and Enter",2014,1,"100 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"157","Commercial Break and Enter",2014,1,"1700 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"158","Commercial Break and Enter",2014,1,"POWELL ST / RAYMUR AVE",NA,NA,NA,"VANCOUVER BC"
"159","Commercial Break and Enter",2014,1,"1900 PINE ST",NA,NA,NA,"VANCOUVER BC"
"160","Commercial Break and Enter",2014,1,"1400 NELSON ST",NA,NA,NA,"VANCOUVER BC"
"161","Commercial Break and Enter",2014,1,"300 E 14TH AVE",NA,NA,NA,"VANCOUVER BC"
"162","Commercial Break and Enter",2014,1,"400 W 15TH AVE",NA,NA,NA,"VANCOUVER BC"
"163","Commercial Break and Enter",2014,1,"100 W 8TH AVE",NA,NA,NA,"VANCOUVER BC"
"164","Commercial Break and Enter",2014,1,"200 E 2ND AVE",NA,NA,NA,"VANCOUVER BC"
"165","Commercial Break and Enter",2014,1,"1600 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"166","Commercial Break and Enter",2014,1,"2400 HEMLOCK ST",NA,NA,NA,"VANCOUVER BC"
"167","Commercial Break and Enter",2014,1,"100 W 5TH AVE",NA,NA,NA,"VANCOUVER BC"
"168","Commercial Break and Enter",2014,1,"1700 W 4TH AVE",NA,NA,NA,"VANCOUVER BC"
"169","Commercial Break and Enter",2014,1,"100 KEEFER PL",NA,NA,NA,"VANCOUVER BC"
"170","Commercial Break and Enter",2014,1,"1100 HARO ST",NA,NA,NA,"VANCOUVER BC"
"171","Commercial Break and Enter",2014,1,"2100 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"172","Commercial Break and Enter",2014,1,"1200 HARO ST",NA,NA,NA,"VANCOUVER BC"
"173","Commercial Break and Enter",2014,1,"1000 E 8TH AVE",NA,NA,NA,"VANCOUVER BC"
"174","Commercial Break and Enter",2014,1,"5200 HEATHER ST",NA,NA,NA,"VANCOUVER BC"
"175","Commercial Break and Enter",2014,1,"400 RAILWAY ST",NA,NA,NA,"VANCOUVER BC"
"176","Commercial Break and Enter",2014,1,"4400 DUNBAR ST",NA,NA,NA,"VANCOUVER BC"
"177","Commercial Break and Enter",2014,1,"4400 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"178","Commercial Break and Enter",2014,1,"2000 W 41ST AVE",NA,NA,NA,"VANCOUVER BC"
"179","Commercial Break and Enter",2014,1,"800 W 41ST AVE",NA,NA,NA,"VANCOUVER BC"
"180","Commercial Break and Enter",2014,1,"100 DAVIE ST",NA,NA,NA,"VANCOUVER BC"
"181","Commercial Break and Enter",2014,1,"4200 ARBUTUS ST",NA,NA,NA,"VANCOUVER BC"
"182","Commercial Break and Enter",2014,1,"100 POWELL ST",NA,NA,NA,"VANCOUVER BC"
"183","Commercial Break and Enter",2014,1,"100 E 33RD AVE",NA,NA,NA,"VANCOUVER BC"
"184","Mischief Over $5000",2014,1,"CULLODEN ST / E 59TH AVE",NA,NA,NA,"VANCOUVER BC"
"185","Mischief Over $5000",2014,1,"1600 DAVIE ST",NA,NA,NA,"VANCOUVER BC"
"186","Mischief Over $5000",2014,1,"1100 HAMILTON ST",NA,NA,NA,"VANCOUVER BC"
"187","Mischief Over $5000",2014,1,"COMMERCIAL DR / GRANDVIEW HWY N",NA,NA,NA,"VANCOUVER BC"
"188","Mischief Under $5000",2014,1,"3200 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"189","Mischief Under $5000",2014,1,"BEACH AVE / DENMAN ST",NA,NA,NA,"VANCOUVER BC"
"190","Mischief Under $5000",2014,1,"100 ALEXANDER ST",NA,NA,NA,"VANCOUVER BC"
"191","Mischief Under $5000",2014,1,"500 W CORDOVA ST",NA,NA,NA,"VANCOUVER BC"
"192","Mischief Under $5000",2014,1,"3500 GRANDVIEW HWY",NA,NA,NA,"VANCOUVER BC"
"193","Mischief Under $5000",2014,1,"700 PRIOR ST",NA,NA,NA,"VANCOUVER BC"
"194","Mischief Under $5000",2014,1,"500 ABBOTT ST",NA,NA,NA,"VANCOUVER BC"
"195","Mischief Under $5000",2014,1,"3300 WORTHINGTON DR",NA,NA,NA,"VANCOUVER BC"
"196","Mischief Under $5000",2014,1,"E 10TH AVE / MAIN ST",NA,NA,NA,"VANCOUVER BC"
"197","Mischief Under $5000",2014,1,"HARO ST / THURLOW ST",NA,NA,NA,"VANCOUVER BC"
"198","Mischief Under $5000",2014,1,"ALBERNI ST / BUTE ST",NA,NA,NA,"VANCOUVER BC"
"199","Mischief Under $5000",2014,1,"2100 W 41ST AVE",NA,NA,NA,"VANCOUVER BC"
"200","Mischief Under $5000",2014,1,"1200 W 14TH AVE",NA,NA,NA,"VANCOUVER BC"
"201","Mischief Under $5000",2014,1,"2600 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"202","Mischief Under $5000",2014,1,"100 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"203","Mischief Under $5000",2014,1,"ABBOTT ST / W PENDER ST",NA,NA,NA,"VANCOUVER BC"
"204","Mischief Under $5000",2014,1,"3100 E 29TH AVE",NA,NA,NA,"VANCOUVER BC"
"205","Mischief Under $5000",2014,1,"400 RAYMUR AVE",NA,NA,NA,"VANCOUVER BC"
"206","Mischief Under $5000",2014,1,"1100 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
"207","Mischief Under $5000",2014,1,"1600 MANITOBA ST",NA,NA,NA,"VANCOUVER BC"
"208","Mischief Under $5000",2014,1,"300 SE MARINE DR",NA,NA,NA,"VANCOUVER BC"
"209","Mischief Under $5000",2014,1,"3100 E 27TH AVE",NA,NA,NA,"VANCOUVER BC"
"210","Mischief Under $5000",2014,1,"700 BUTE ST",NA,NA,NA,"VANCOUVER BC"
"211","Mischief Under $5000",2014,1,"CLARK DR / E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"212","Mischief Under $5000",2014,1,"100 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"213","Mischief Under $5000",2014,1,"700 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"214","Mischief Under $5000",2014,1,"400 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"215","Mischief Under $5000",2014,1,"300 PENTICTON ST",NA,NA,NA,"VANCOUVER BC"
"216","Mischief Under $5000",2014,1,"700 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
"217","Mischief Under $5000",2014,1,"1400 COMMERCIAL DR",NA,NA,NA,"VANCOUVER BC"
"218","Mischief Under $5000",2014,1,"4400 W 10TH AVE",NA,NA,NA,"VANCOUVER BC"
"219","Mischief Under $5000",2014,1,"600 HELMCKEN ST",NA,NA,NA,"VANCOUVER BC"
"220","Mischief Under $5000",2014,1,"300 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"221","Mischief Under $5000",2014,1,"BALDWIN ST / KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"222","Mischief Under $5000",2014,1,"800 RICHARDS ST",NA,NA,NA,"VANCOUVER BC"
"223","Mischief Under $5000",2014,1,"1700 DAVIE ST",NA,NA,NA,"VANCOUVER BC"
"224","Mischief Under $5000",2014,1,"3000 DUNBAR ST",NA,NA,NA,"VANCOUVER BC"
"225","Mischief Under $5000",2014,1,"3600 WILLIAM ST",NA,NA,NA,"VANCOUVER BC"
"226","Mischief Under $5000",2014,1,"900 W 16TH AVE",NA,NA,NA,"VANCOUVER BC"
"227","Mischief Under $5000",2014,1,"700 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"228","Mischief Under $5000",2014,1,"HORNBY ST / W PENDER ST",NA,NA,NA,"VANCOUVER BC"
"229","Mischief Under $5000",2014,1,"100 E CORDOVA ST",NA,NA,NA,"VANCOUVER BC"
"230","Mischief Under $5000",2014,1,"GORE AVE / POWELL ST",NA,NA,NA,"VANCOUVER BC"
"231","Mischief Under $5000",2014,1,"100 GORE AVE",NA,NA,NA,"VANCOUVER BC"
"232","Mischief Under $5000",2014,1,"COMMERCIAL ST / E 18TH AVE",NA,NA,NA,"VANCOUVER BC"
"233","Mischief Under $5000",2014,1,"4800 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"234","Mischief Under $5000",2014,1,"1300 HORNBY ST",NA,NA,NA,"VANCOUVER BC"
"235","Mischief Under $5000",2014,1,"1700 E 34TH AVE",NA,NA,NA,"VANCOUVER BC"
"236","Mischief Under $5000",2014,1,"100 KEEFER ST",NA,NA,NA,"VANCOUVER BC"
"237","Mischief Under $5000",2014,1,"E 23RD AVE / KAMLOOPS ST",NA,NA,NA,"VANCOUVER BC"
"238","Mischief Under $5000",2014,1,"1200 E 12TH AVE",NA,NA,NA,"VANCOUVER BC"
